2026-07-27 13:06:49,894 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 27 Jul 2026 10:06:49 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'X-Content-Type-Options', b'nosniff'), (b'mistral-correlation-id', b'019fa30a-9b95-7406-ba40-483888459a28'), (b'x-kong-request-id', b'019fa30a-9b95-7406-ba40-483888459a28'), (b'x-ratelimit-tokens-query-cost', b'12'), (b'x-ratelimit-limit-req-minute', b'60'), (b'x-ratelimit-remaining-req-minute', b'57'), (b'x-envoy-upstream-service-time', b'137'), (b'Server', b'cloudflare'), (b'access-control-allow-origin', b'*'), (b'x-kong-upstream-latency', b'138'), (b'x-kong-proxy-latency', b'24'), (b'Strict-Transport-Security', b'max-age=15552000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a21ad5654ab18c19-ADD'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-07-27 13:06:49,900 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/embeddings "HTTP/1.1 200 OK"
2026-07-27 13:06:49,900 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:49,900 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:49,900 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-27 13:06:49,900 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-27 13:06:50,201 | DEBUG    | httpcore.connection | connect_tcp.started host='api.mistral.ai' port=443 local_address=None timeout=300.0 socket_options=None
2026-07-27 13:06:50,228 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000239FD6707D0>
2026-07-27 13:06:50,228 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000239FD482C30> server_hostname='api.mistral.ai' timeout=300.0
2026-07-27 13:06:50,245 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000239FD670810>
2026-07-27 13:06:50,245 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:50,252 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:50,252 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:50,255 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:50,255 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
